NV_Warning: Counter 'warp_execution_efficiency' is not compatible with other selected counters and it cannot be profiled in this run.
NV_Warning: Counter 'l1_cache_global_hit_rate' is not compatible with other selected counters and it cannot be profiled in this run.
NV_Warning: Counter 'l1_cache_local_hit_rate' is not compatible with other selected counters and it cannot be profiled in this run.
NV_Warning: Counter 'ipc' is not compatible with other selected counters and it cannot be profiled in this run.
# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_DEVICE 0 Tesla X2070
# CUDA_CONTEXT 1
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 146f48bf200dd6a9
gpustarttimestamp,method,gputime,cputime,gridsizeX,gridsizeY,occupancy,streamid
148a02143ee90600,_Z20cudakernel_Compute_pPdPKdS1_id19ProcComputingCoords,10724.864,7.432,42,1,0.667,12
148a02143f907b00,_Z30cudakernel_PrepareStopCriteriaPdPKdS1_i19ProcComputingCoords,8453.632,6.814,42,1,0.667,1
148a021440118000,_Z21cudakernel_ComputeMaxPdPKdii,2314.240,3.228,42,1,1.000,1
148a02144034d600,_Z21cudakernel_ComputeMaxPdPKdii,4.608,2.962,1,1,0.333,1
148a02144034f5a0,memcpyDtoH,1.728,10773.123,,,,1
148a021440413e00,_Z50cudakernel_Counting_5_star_Memcpy_vertical_messagePdPKdii,13.056,7.689,10,1,1.000,13
148a021440415800,_Z50cudakernel_Counting_5_star_Memcpy_vertical_messagePdPKdii,9.472,3.447,10,1,1.000,14
148a021440418220,memcpyDtoHasync,13.152,5.204,,,,15
148a02144041c260,memcpyDtoHasync,10.848,3.331,,,,16
148a02144041b600,_Z34cudakernel_Counting_5_star_insidesPdPKd19ProcComputingCoordsdd,14083.072,3.885,42,1,0.333,12
148a021440d0d000,_Z38cudakernel_Counting_5_star_nxm_cornersPdPKdS1_S1_S1_S1_19ProcComputingCoordsdd,6.400,3.194,1,1,0.167,21
148a0214411cd600,_Z20cudakernel_Compute_rPdPKdi19ProcComputingCoordsdddd,6988.800,7.152,42,1,0.333,12
148a0214418b0000,_Z50cudakernel_Counting_5_star_Memcpy_vertical_messagePdPKdii,13.312,6.869,10,1,1.000,13
148a0214418b1c00,_Z50cudakernel_Counting_5_star_Memcpy_vertical_messagePdPKdii,9.472,3.344,10,1,1.000,14
148a0214418b3fe0,memcpyDtoHasync,14.848,4.980,,,,15
148a0214418b8760,memcpyDtoHasync,10.176,3.115,,,,16
148a0214418b7200,_Z34cudakernel_Counting_5_star_insidesPdPKd19ProcComputingCoordsdd,14055.424,3.595,42,1,0.333,12
148a0214421a3500,_Z38cudakernel_Counting_5_star_nxm_cornersPdPKdS1_S1_S1_S1_19ProcComputingCoordsdd,5.632,3.565,1,1,0.167,21
148a021442661600,_Z31cudakernel_PrepareScalarProductPdPKdS1_id19ProcComputingCoords,8579.584,6.515,42,1,0.667,1
148a021442e90600,_Z21cudakernel_ComputeSumPdPKdii,2312.960,2.838,42,1,1.000,1
148a0214430c5600,_Z21cudakernel_ComputeSumPdPKdii,4.864,2.958,1,1,0.333,1
148a0214430c75a0,memcpyDtoH,1.696,10898.097,,,,1
148a021443107900,_Z20cudakernel_Compute_gPdPKdid19ProcComputingCoords,8747.008,7.092,42,1,0.667,12
148a02144399ac00,_Z50cudakernel_Counting_5_star_Memcpy_vertical_messagePdPKdii,14.080,6.893,10,1,1.000,13
148a02144399c400,_Z50cudakernel_Counting_5_star_Memcpy_vertical_messagePdPKdii,10.240,3.183,10,1,1.000,14
148a02144399e9e0,memcpyDtoHasync,15.296,4.905,,,,15
148a0214439a32a0,memcpyDtoHasync,9.792,3.136,,,,16
